Attempter,Time,Mental demand,Physical demand,Temporal demand,Performance,Effort,Frustration,Type,Rank
1,0:03:10,6,1,5,2,1,3,ray,2
1,0:02:10,1,1,2,7,2,1,direct,1
2,0:01:30,2,1,1,7,1,4,ray,1
2,0:01:30,2,4,2,7,3,5,direct,2
3,0:03:40,2,2,4,5,4,6,direct,2
3,0:01:00,3,1,2,8,1,1,ray,1
4,0:01:30,1,1,1,10,3,7,direct,2
4,0:01:34,5,1,1,10,7,7,ray,1
5,0:01:26,3,1,1,9,2,4,ray,1
5,0:02:00,6,3,1,5,4,2,direct,2
6,0:01:39,2,2,2,9,2,1,direct,2
6,0:00:58,1,1,1,10,1,1,ray,1
7,0:01:55,5,2,1,9,2,1,ray,1
7,0:02:05,3,4,6,10,6,1,direct,2
8,0:02:05,2,4,3,5,6,4,direct,2
8,0:00:50,2,2,3,9,3,2,ray,1
